y_over_L,u_over_U,x_over_L,v_over_U
0.0,0.0,0.0,0.0
0.024999999999999998,-0.018806382760257274,0.024999999999999998,0.04340733745795624
0.075,-0.04933152534170325,0.075,0.10296428149422264
0.125,-0.0759643998005362,0.125,0.14013014147563008
0.17500000000000002,-0.10061773762819348,0.17500000000000002,0.16027285995814572
0.22499999999999998,-0.12425117281143057,0.22499999999999998,0.1678502649421745
0.27499999999999997,-0.14699132232106307,0.27499999999999997,0.1658255877288149
0.325,-0.1680292124556365,0.325,0.1557007820920698
0.37499999999999994,-0.1855707645130086,0.37499999999999994,0.13788746927209697
0.425,-0.19698270632060147,0.425,0.11217256103987856
0.475,-0.19919695017862815,0.475,0.07815806111169625
0.5249999999999999,-0.1893780197980653,0.5249999999999999,0.0356679711888693
0.575,-0.16569165791667714,0.575,-0.0148165274234814
0.625,-0.1279429966748428,0.625,-0.0716135983445024
0.675,-0.0773577729413729,0.675,-0.13110750320403664
0.7249999999999999,-0.0153818010881048,0.7249999999999999,-0.1869204099265068
0.7749999999999999,0.05918563883051586,0.7749999999999999,-0.2292198342632601
0.825,0.1550039994953932,0.825,-0.2450219016484171
0.875,0.29360473881396354,0.875,-0.22116802406166933
0.9249999999999999,0.5083270503417445,0.9249999999999999,-0.15215661180402787
0.975,0.8206330742078417,0.975,-0.05123330644597581
1.0,1.0,1.0,0.0
