y_over_L,u_over_U,x_over_L,v_over_U
0.0,0.0,0.0,0.0
0.024999999999999998,-0.01675239685789798,0.024999999999999998,0.037272458255007905
0.049999999999999996,-0.0318632230191842,0.049999999999999996,0.06845224083484593
0.075,-0.045710425269048914,0.075,0.09397913792582555
0.09999999999999999,-0.05863108808058611,0.09999999999999999,0.11439061781390597
0.125,-0.07088547538024603,0.125,0.13025582119657886
0.15,-0.0826770382534967,0.15,0.14213610970939544
0.17500000000000002,-0.09415578592689097,0.17500000000000002,0.15055140234864356
0.19999999999999998,-0.1054188825232339,0.19999999999999998,0.15595686658874588
0.22499999999999998,-0.1165089583242031,0.22499999999999998,0.15872954688299923
0.25,-0.12741123628928633,0.25,0.1591637469063874
0.27499999999999997,-0.1380504426458572,0.27499999999999997,0.15747337799487446
0.3,-0.14828857457289144,0.3,0.15379929499204603
0.325,-0.1579246759184789,0.325,0.14821974105998795
0.35000000000000003,-0.16669776011356957,0.35000000000000003,0.14076235016102753
0.37499999999999994,-0.17429372460864756,0.37499999999999994,0.13141661224451287
0.39999999999999997,-0.18035747170326782,0.39999999999999997,0.12014619606229923
0.425,-0.18450999356527398,0.425,0.10690097870128687
0.44999999999999996,-0.1863698653435306,0.44999999999999996,0.09162900605422714
0.475,-0.1855778925892354,0.475,0.07428888713421175
0.5,-0.18182255800289523,0.5,0.05486330845623546
0.5249999999999999,-0.17486408591727573,0.5249999999999999,0.03337444271054049
0.5499999999999999,-0.16455230453227332,0.5499999999999999,0.009902026211879158
0.575,-0.15083578644895396,0.575,-0.015395338003220235
0.6,-0.13375910891986487,0.6,-0.04225509066210614
0.625,-0.11344562144788621,0.625,-0.07028151828110042
0.65,-0.0900637459488321,0.65,-0.0989145133976682
0.675,-0.06377511256545756,0.675,-0.12739976840229209
0.7000000000000001,-0.0346621860515325,0.7000000000000001,-0.15476567837324096
0.7249999999999999,-0.0026322708273759884,0.7249999999999999,-0.1798160222962018
0.7499999999999999,0.03270541443541025,0.7499999999999999,-0.20115048812853265
0.7749999999999999,0.07219019980326072,0.7749999999999999,-0.21722650838792626
0.7999999999999999,0.11727953222682656,0.7999999999999999,-0.22647352639807525
0.825,0.1702074770651075,0.825,-0.2274626062656051
0.85,0.23406391228233583,0.85,-0.21911940011458209
0.875,0.31267266876008293,0.875,-0.20094892611571555
0.8999999999999999,0.410090597674852,0.8999999999999999,-0.1732221353869939
0.9249999999999999,0.5295289307482692,0.9249999999999999,-0.1370668573057592
0.95,0.6715920541257471,0.95,-0.09441339599239287
0.975,0.8319930090200635,0.975,-0.04783566442399682
1.0,1.0000000000705145,1.0,0.0
