y_over_L,u_over_U,x_over_L,v_over_U
0.0,0.0,0.0,0.0
0.012499999999999999,-0.009500489371411158,0.012499999999999999,0.023121193825429966
0.0375,-0.02650541347475949,0.0375,0.06186786518196376
0.0625,-0.04204143937880032,0.0625,0.09362394859475368
0.08750000000000001,-0.05650997835419978,0.08750000000000001,0.11903620945172735
0.11249999999999999,-0.07022077972786195,0.11249999999999999,0.1388198965558227
0.13749999999999998,-0.08342330007941239,0.13749999999999998,0.1537002871639289
0.1625,-0.09630973171573616,0.1625,0.1643610147734602
0.18749999999999997,-0.10901425501049482,0.18749999999999997,0.17140760719883552
0.2125,-0.12161127093472533,0.2125,0.17534623737170124
0.2375,-0.13411185298412923,0.2375,0.176575428564856
0.26249999999999996,-0.14645933232490355,0.26249999999999996,0.17538810891747375
0.2875,-0.15852533416716824,0.2875,0.17198110395922991
0.3125,-0.1701075958621995,0.3125,0.16646920868548665
0.3375,-0.18093101958847696,0.3375,0.15890141684058612
0.36249999999999993,-0.19065326912020958,0.36249999999999993,0.1492775355294225
0.38749999999999996,-0.1988760566242625,0.38749999999999996,0.1375641255766551
0.4125,-0.20516275108864196,0.4125,0.12370936722946539
0.4375,-0.2090621757897021,0.4375,0.10765698448934341
0.46249999999999997,-0.2101374856771263,0.46249999999999997,0.08935974255743732
0.4875,-0.20799790371602245,0.4875,0.0687932706910067
0.5125,-0.20233004796549978,0.5125,0.045971086134382104
0.5375,-0.1929248227908652,0.5375,0.020961730023307368
0.5625,-0.17969563904067343,0.5625,-0.006091123919306635
0.5875,-0.16268383452427454,0.5875,-0.03494489084857349
0.6124999999999999,-0.14204844851967302,0.6124999999999999,-0.0652302579214379
0.6375,-0.11803816841590754,0.6375,-0.09641991374418797
0.6625,-0.09094424293620296,0.6625,-0.12779548635610485
0.6875,-0.06103301631296067,0.6875,-0.15841680998140864
0.7125,-0.028455555066631062,0.7125,-0.18710073512810807
0.7374999999999999,0.006870104599249181,0.7374999999999999,-0.21242076392740178
0.7625,0.045409320463207,0.7625,-0.232742922800024
0.7875,0.08819456183509412,0.7875,-0.2463156606621864
0.8125,0.13702820680749228,0.8125,-0.2514289769029414
0.8375,0.19465500969872965,0.8375,-0.2466462114016408
0.8625,0.26479814791026357,0.8625,-0.23108786456783148
0.8875,0.35188063271510706,0.8875,-0.20471249766531802
0.9125,0.46020210761217634,0.9125,-0.16850544886565447
0.9375,0.5923794693733371,0.9375,-0.12447402353699634
0.9625,0.7470470082318477,0.9625,-0.07541392595586219
0.9875,0.9161970843502187,0.9875,-0.024601000423705537
1.0,1.0,1.0,0.0
