t_s,current_A,voltage_V,cell_heat_W,soc,cell_temperature_K,coolant_inlet_K,coolant_outlet_K,module_heat_removed_W
4838400.0,0.0,4.042080001281208,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4838403.600000054,0.0,4.042080001281208,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4838407.200000107,0.0,4.042080001281208,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4838414.400000215,0.0,4.042080001281208,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4838428.800000429,0.0,4.042080001281208,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4838457.600000858,0.0,4.042080001281207,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4838515.200001718,0.0,4.042080001281208,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4838630.400003434,0.0,4.04208000128121,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4838760.0,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4838763.240000053,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4838766.480000108,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4838772.960000215,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4838785.920000429,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4838811.8400008585,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4838863.680001717,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4838967.360003434,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839120.0,0.0,4.042080001281212,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839122.880000054,0.0,4.042080001281212,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839125.760000107,0.0,4.042080001281212,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839131.520000215,0.0,4.042080001281212,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839143.040000429,0.0,4.042080001281212,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839166.080000859,0.0,4.042080001281212,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839212.1600017175,0.0,4.042080001281212,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839304.320003434,0.0,4.04208000128121,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839480.0,0.0,4.042080001281208,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839482.520000054,0.0,4.042080001281208,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839485.040000107,0.0,4.042080001281208,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839490.080000214,0.0,4.042080001281208,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839500.1600004295,0.0,4.042080001281208,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839520.320000859,0.0,4.04208000128121,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839560.640001717,0.0,4.04208000128121,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839641.280003434,0.0,4.04208000128121,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839802.560006868,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839840.0,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839842.160000053,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839844.320000107,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839848.640000215,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839857.28000043,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839874.560000858,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839909.1200017175,0.0,4.042080001281212,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4839978.240003434,0.0,4.042080001281212,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4840116.480006868,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4840200.0,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4840201.800000054,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4840203.600000108,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4840207.200000214,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4840214.40000043,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4840228.8000008585,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4840257.600001717,0.0,4.042080001281214,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
4840315.200003434,0.0,4.042080001281212,0.0,0.8,293.70735966768837,293.7073589999702,293.70735900242727,2.047998714260757e-07
