t_s,current_A,voltage_V,cell_heat_W,soc,cell_temperature_K,coolant_inlet_K,coolant_outlet_K,module_heat_removed_W
4838400.0,0.0,4.042080001281205,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4838403.600000054,0.0,4.042080001281205,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4838407.200000107,0.0,4.042080001281205,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4838414.400000215,0.0,4.042080001281205,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4838428.800000429,0.0,4.042080001281205,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4838457.600000858,0.0,4.042080001281208,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4838515.200001718,0.0,4.042080001281208,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4838630.400003434,0.0,4.042080001281208,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4838760.0,0.0,4.04208000128121,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4838763.240000053,0.0,4.04208000128121,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4838766.480000108,0.0,4.042080001281207,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4838772.960000215,0.0,4.042080001281207,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4838785.920000429,0.0,4.042080001281207,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4838811.8400008585,0.0,4.042080001281207,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4838863.680001717,0.0,4.042080001281207,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4838967.360003434,0.0,4.042080001281207,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4839120.0,0.0,4.042080001281207,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4839122.880000054,0.0,4.042080001281207,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4839125.760000107,0.0,4.042080001281207,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4839131.520000215,0.0,4.042080001281207,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4839143.040000429,0.0,4.042080001281207,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4839166.080000859,0.0,4.042080001281207,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4839212.1600017175,0.0,4.042080001281207,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4839304.320003434,0.0,4.04208000128121,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4839480.0,0.0,4.042080001281212,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4839482.520000054,0.0,4.042080001281212,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4839485.040000107,0.0,4.042080001281212,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4839490.080000214,0.0,4.042080001281212,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4839500.1600004295,0.0,4.042080001281212,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4839520.320000859,0.0,4.042080001281212,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4839560.640001717,0.0,4.042080001281212,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4839641.280003434,0.0,4.04208000128121,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
4839802.560006868,0.0,4.042080001281208,0.0,0.8,313.7073587283352,313.7073589999985,313.707359000786,4.096014890819788e-08
